,Link,Code,For_rent_sale,Price,Area,Floor,Rooms,Dates
2849,https://akcern.am/en/property/11804,Code - 20519,For rent,400 USD,'Total area 80 m 2','Floor 5','Count of rooms 2',25.03.2021
2850,https://akcern.am/en/property/3379,Code - 20494,For rent,500 USD,'Total area 93 m 2','Floor 2','Count of rooms 2',25.03.2021
2851,https://akcern.am/en/property/8672,Code - 32946,For sale,"200,000 USD",'Total area 94 m 2','Floor 5','Count of rooms 3',25.03.2021
2852,https://akcern.am/en/property/11692,Code - 80161,For sale,"85,000 USD",'Total area 95 m 2','Floor ','Count of rooms 2',25.03.2021
2853,https://akcern.am/en/property/1424,Code - 80159,For sale,"200,000 USD",'Total area 207 m 2','Floor ','Count of rooms 5',25.03.2021
2854,https://akcern.am/en/property/1388,Code - 80152,For sale,"120,000 USD",'Total area 326 m 2','Floor ','Count of rooms 5',25.03.2021
2855,https://akcern.am/en/property/5587,Code - 10313,For rent,600 USD,'Total area 39 m 2','Floor 3','Count of rooms 1',25.03.2021
2856,https://akcern.am/en/property/2948,Code - 10311,For rent,500 USD,'Total area 27 m 2','Floor 1','Count of rooms 1',25.03.2021
2857,https://akcern.am/en/property/2513,Code - 10299,For rent,450 USD,'Total area 40 m 2','Floor 11','Count of rooms 1',25.03.2021
2858,https://akcern.am/en/property/2356,Code - 10292,For rent,500 USD,'Total area 40 m 2','Floor 4','Count of rooms 1',25.03.2021
2859,https://akcern.am/en/property/2322,Code - 10291,For rent,400 USD,'Total area 50 m 2','Floor 3','Count of rooms 1',25.03.2021
2860,https://akcern.am/en/property/1851,Code - 10265,For rent,550 USD,'Total area 41 m 2','Floor 7','Count of rooms 1',25.03.2021
2861,https://akcern.am/en/property/1833,Code - 10264,For rent,460 USD,'Total area 42 m 2','Floor 7','Count of rooms 1',25.03.2021
2862,https://akcern.am/en/property/1671,Code - 10257,For rent,800 USD,'Total area 57 m 2','Floor 13','Count of rooms 1',25.03.2021
2863,https://akcern.am/en/property/1631,Code - 10255,For rent,400 USD,'Total area 39 m 2','Floor 8','Count of rooms 1',25.03.2021
2864,https://akcern.am/en/property/669,Code - 10249,For rent,400 USD,'Total area 40 m 2','Floor 5','Count of rooms 1',25.03.2021
2865,https://akcern.am/en/property/11743,Code - 10229,For rent,500 USD,'Total area 37 m 2','Floor 3','Count of rooms 1',25.03.2021
2866,https://akcern.am/en/property/36,Code - 10227,For rent,450 USD,'Total area 35 m 2','Floor 1','Count of rooms 1',25.03.2021
2867,https://akcern.am/en/property/11742,Code - 10225,For rent,300 USD,'Total area 34 m 2','Floor 4','Count of rooms 1',25.03.2021
2868,https://akcern.am/en/property/11741,Code - 10210,For rent,500 USD,'Total area 38 m 2','Floor 2','Count of rooms 1',25.03.2021
2869,https://akcern.am/en/property/259,Code - 10213,For rent,450 USD,'Total area 38 m 2','Floor 4','Count of rooms 1',25.03.2021
2870,https://akcern.am/en/property/11740,Code - 10055,For rent,500 USD,'Total area 39 m 2','Floor 6','Count of rooms 1',25.03.2021
2871,https://akcern.am/en/property/11714,Code - 860010,For sale,"200,000 USD",'Total area 373 m 2','Floor ','Count of rooms 6',25.03.2021
2872,https://akcern.am/en/property/14441,Code - 20438,For rent,"1,000 USD",'Total area 73 m 2','Floor 4','Count of rooms 2',25.03.2021
2873,https://akcern.am/en/property/11734,Code - 10673,For rent,200 USD,'Total area 42 m 2','Floor 4','Count of rooms 1',25.03.2021
2874,https://akcern.am/en/property/11733,Code - 20623,For rent,200 USD,'Total area 58 m 2','Floor 2','Count of rooms 2',25.03.2021
2875,https://akcern.am/en/property/14964,Code - 10697,For rent,500 USD,'Total area 36 m 2','Floor 8','Count of rooms 1',25.03.2021
2876,https://akcern.am/en/property/11731,Code - 10569,For rent,500 USD,'Total area 39 m 2','Floor 4','Count of rooms 1',25.03.2021
2877,https://akcern.am/en/property/11732,Code - 10717,For rent,150 USD,'Total area 50 m 2','Floor 2','Count of rooms 1',25.03.2021
2878,https://akcern.am/en/property/15406,Code - 10765,For rent,250 USD,'Total area 50 m 2','Floor ','Count of rooms 1',25.03.2021
2879,https://akcern.am/en/property/11728,Code - 20932,For rent,200 USD,'Total area 60 m 2','Floor 5','Count of rooms 2',25.03.2021
2880,https://akcern.am/en/property/15162,Code - 30977,For rent,400 USD,'Total area 92 m 2','Floor 1','Count of rooms 3',25.03.2021
2881,https://akcern.am/en/property/14645,Code - 30905,For rent,400 USD,'Total area 74 m 2','Floor 5','Count of rooms 3',25.03.2021
2882,https://akcern.am/en/property/14655,Code - 20934,For rent,500 USD,'Total area 68 m 2','Floor 2','Count of rooms 2',25.03.2021
2883,https://akcern.am/en/property/13762,Code - 10459,For rent,300 USD,'Total area 55 m 2','Floor 1','Count of rooms 1',25.03.2021
2884,https://akcern.am/en/property/14028,Code - 20747,For rent,900 USD,'Total area 78 m 2','Floor 11','Count of rooms 2',25.03.2021
2885,https://akcern.am/en/property/11721,Code - 10573,For rent,300 USD,'Total area 50 m 2','Floor 10','Count of rooms 1',25.03.2021
2886,https://akcern.am/en/property/14316,Code - 10605,For rent,350 USD,'Total area 40 m 2','Floor 10','Count of rooms 1',25.03.2021
2887,https://akcern.am/en/property/11720,Code - 30381,For rent,300 USD,'Total area 78 m 2','Floor 4','Count of rooms 3',25.03.2021
2888,https://akcern.am/en/property/13757,Code - 10395,For rent,220 USD,'Total area 44 m 2','Floor 4','Count of rooms 1',25.03.2021
